Exp_Config_Name,Physical_Pipeline_Uuid,Logical_Pipeline_Uuid,Compound_Pp_Improvement,Metric,Model_Name,Runtime_In_Mins,Dataset_Name,Logical_Pipeline_Name,Null_Imputer_Name,Fairness_Intervention_Name,Model_Type,age_dis,age_dis_correct,age_dis_incorrect,age_priv,age_priv_correct,age_priv_incorrect,overall,sex&age_dis,sex&age_dis_correct,sex&age_dis_incorrect,sex&age_priv,sex&age_priv_correct,sex&age_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,sex_priv,sex_priv_correct,sex_priv_incorrect
german_experiments,4b7e7f1c-7ac9-4300-9015-5c62444e45a1,3b1aa635-807c-4eb5-8033-5b3581e05983,-0.00966621141278274,Accuracy,miss_forest&DIR&lr_clf,0.014082416666666665,german,miss_forest&DIR&lr_clf,miss_forest,DIR,lr_clf,0.6290322580645161,1.0,0.0,0.7142857142857143,1.0,0.0,0.6966666666666667,0.5277777777777778,1.0,0.0,0.7196969696969697,1.0,0.0,0.6704545454545454,1.0,0.0,0.7075471698113207,1.0,0.0
german_experiments,4b7e7f1c-7ac9-4300-9015-5c62444e45a1,3b1aa635-807c-4eb5-8033-5b3581e05983,-0.00966621141278274,Aleatoric_Uncertainty,miss_forest&DIR&lr_clf,0.014082416666666665,german,miss_forest&DIR&lr_clf,miss_forest,DIR,lr_clf,0.8798165010233113,0.8720587243414281,0.8929709919186786,0.8760273415960877,0.8713528588346248,0.887713548499745,0.8768104345443806,0.8800369148569023,0.8723634619531834,0.8886131269257647,0.8763704599563095,0.8713966867057443,0.8891409588428953,0.8742800145615621,0.8693597226038907,0.8842902637168248,0.8778607975561166,0.8723203507838158,0.8912651042632959
german_experiments,4b7e7f1c-7ac9-4300-9015-5c62444e45a1,3b1aa635-807c-4eb5-8033-5b3581e05983,-0.00966621141278274,Epistemic_Uncertainty,miss_forest&DIR&lr_clf,0.014082416666666665,german,miss_forest&DIR&lr_clf,miss_forest,DIR,lr_clf,0.000732009929236277,0.0007863379946764226,0.0006398884269682714,0.0007258948311189561,0.0007435203657818468,0.0006818309944611745,0.0007271586180630507,0.000716515977517318,0.0007352900192771905,0.000695533224962186,0.0007286098872284485,0.0007531322821529018,0.0006656469813418608,0.0007679219642612312,0.0007879038847155018,0.0007272690916128033,0.0007102379837922168,0.0007371954318472485,0.0006450183514010721
german_experiments,4b7e7f1c-7ac9-4300-9015-5c62444e45a1,3b1aa635-807c-4eb5-8033-5b3581e05983,-0.00966621141278274,F1,miss_forest&DIR&lr_clf,0.014082416666666665,german,miss_forest&DIR&lr_clf,miss_forest,DIR,lr_clf,0.7722772277227723,1.0,0.0,0.8333333333333334,1.0,0.0,0.8212180746561886,0.6909090909090909,1.0,0.0,0.8370044052863436,1.0,0.0,0.8027210884353742,1.0,0.0,0.8287292817679558,1.0,0.0
german_experiments,4b7e7f1c-7ac9-4300-9015-5c62444e45a1,3b1aa635-807c-4eb5-8033-5b3581e05983,-0.00966621141278274,FNR,miss_forest&DIR&lr_clf,0.014082416666666665,german,miss_forest&DIR&lr_clf,miss_forest,DIR,lr_clf,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
german_experiments,4b7e7f1c-7ac9-4300-9015-5c62444e45a1,3b1aa635-807c-4eb5-8033-5b3581e05983,-0.00966621141278274,FPR,miss_forest&DIR&lr_clf,0.014082416666666665,german,miss_forest&DIR&lr_clf,miss_forest,DIR,lr_clf,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0
german_experiments,4b7e7f1c-7ac9-4300-9015-5c62444e45a1,3b1aa635-807c-4eb5-8033-5b3581e05983,-0.00966621141278274,IQR,miss_forest&DIR&lr_clf,0.014082416666666665,german,miss_forest&DIR&lr_clf,miss_forest,DIR,lr_clf,0.02185170576221079,0.022540818843100854,0.020683209668527637,0.023553705809805987,0.023820925757855375,0.022885655939682517,0.023201959133302977,0.02152279473770243,0.020849898506603775,0.022274855231283284,0.023430936096339422,0.023855269695215134,0.022341430910036902,0.022885782842163308,0.023364153352496735,0.021912546286657373,0.02333320212207794,0.0236677617727936,0.02252378361228198
german_experiments,4b7e7f1c-7ac9-4300-9015-5c62444e45a1,3b1aa635-807c-4eb5-8033-5b3581e05983,-0.00966621141278274,Jitter,miss_forest&DIR&lr_clf,0.014082416666666665,german,miss_forest&DIR&lr_clf,miss_forest,DIR,lr_clf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
german_experiments,4b7e7f1c-7ac9-4300-9015-5c62444e45a1,3b1aa635-807c-4eb5-8033-5b3581e05983,-0.00966621141278274,Label_Stability,miss_forest&DIR&lr_clf,0.014082416666666665,german,miss_forest&DIR&lr_clf,miss_forest,DIR,lr_clf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
german_experiments,4b7e7f1c-7ac9-4300-9015-5c62444e45a1,3b1aa635-807c-4eb5-8033-5b3581e05983,-0.00966621141278274,Mean_Prediction,miss_forest&DIR&lr_clf,0.014082416666666665,german,miss_forest&DIR&lr_clf,miss_forest,DIR,lr_clf,0.3001950887346454,0.29361339137407366,0.31135535817213644,0.2971760038297561,0.29331660959337236,0.3068244894207155,0.29779994804343324,0.3001956536031457,0.2937065937807894,0.3074481322281321,0.29747326092165427,0.293338529540143,0.30808946311742624,0.29565762663175604,0.2915848576852346,0.30394360483329963,0.29868921353507283,0.29407492860688883,0.3098528061032597
